Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;1;2014;F;D;64111;212;15407432,85; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ECOLES PRIMAIRES
VILLE;1;2014;F;D;61558;24;16722,39; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;FETES ET CEREMONIES
VILLE;1;2014;F;D;6156;823;85344,15; MAINTENANCE;ESPACES VERTS URBAINS
VILLE;1;2014;F;D;64131;810;87379,46; REMUNERATION;SERVICES COMMUNS
VILLE;1;2014;I;D;2031;324;13547,88; FRAIS D'ETUDES;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2014;I;D;2184;520;31986,2; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;SERVICES COMMUNS
VILLE;1;2014;I;R;274;520;52857,78; AUTRES IMMOBILISATIONS FINANCIERES PRETS;SERVICES COMMUNS
VILLE;1;2014;I;R;261;;14922; TITRES DE PARTICIPATION;
VILLE;1;2014;F;D;6135;30;285247,89; LOCATIONS MOBILIERES;SERVICES COMMUNS
VILLE;1;2014;F;D;6453;323;155363,05; COTISATIONS AUX CAISSES DE RETRAITES;ARCHIVES
VILLE;1;2014;F;D;64118;23;373175,06; AUTRES INDEMNITES PERSONNEL TITULAIRE;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2014;F;D;64118;64;2391499,74; AUTRES INDEMNITES PERSONNEL TITULAIRE;CRECHES ET GARDERIES
VILLE;1;2014;F;R;7062;313;79926; REDEVANCES ET DROITS DES SERVICES A CARACTERE CULTUREL;THEATRES
VILLE;1;2014;F;D;627;26;143,38; SERVICES BANCAIRES ET ASSIMILES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;D;6282;411;18426,33; FRAIS DE GARDIENNAGE;SALLES DE SPORT, GYMNASES
VILLE;1;2014;F;D;60631;821;810,11; FOURNITURES D'ENTRETIEN;EQUIPEMENTS DE VOIRIE
VILLE;1;2014;I;D;21568;324;48273,04; AUTRE MATERIEL ET OUTILLAGE D'INCENDIE ET DE DEFENSE CIVILE;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2014;F;R;70323;822;2719540,25; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2014;F;D;60631;20;380019,42; FOURNITURES D'ENTRETIEN;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;I;D;2135;824;27343,55; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;60621;26;3749,47; COMBUSTIBLES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;R;7718;816;285,65; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;D;6451;822;724766,97; COTISATIONS A L'URSSAF;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2014;F;D;611;112;98039,26; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;POLICE MUNICIPALE
VILLE;1;2014;I;D;2313;322;161860,4; IMMOBILISATIONS EN COURS CONSTRUCTION;MUSEES
VILLE;1;2014;F;D;6558;212;8895,42; CONTINGENT ET PARTICIPATIONS OBLIGATOIRES AUTRES DEPENSES OBLIGATOIRES;ECOLES PRIMAIRES
VILLE;1;2014;F;D;60636;814;6256,08; VETEMENTS DE TRAVAIL;ECLAIRAGE PUBLIC
VILLE;1;2014;F;D;617;814;119993,77; ETUDES ET RECHERCHES;ECLAIRAGE PUBLIC
VILLE;1;2014;F;D;64131;211;61364,09; REMUNERATION;ECOLES MATERNELLES
VILLE;1;2014;F;R;70323;824;33040; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;64111;820;1738722,33; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;SERVICES COMMUNS
VILLE;1;2014;F;D;6282;251;396,66; FRAIS DE GARDIENNAGE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;D;64111;91;554742,58; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;FOIRES ET MARCHES
VILLE;1;2014;F;D;6574;213;2316481; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;CLASSES REGROUPEES
VILLE;1;2014;I;D;20422;824;21367359,62; SUBVENTIONS AUX PERSONNES DE DROIT PRIVEES BATIMENTS ET INSTALLATIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;60636;422;996,48; VETEMENTS DE TRAVAIL;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;611;415;13931,87; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;MANIFESTATIONS SPORTIVES
VILLE;1;2014;F;D;6182;212;407,99; DOCUMENTATION GENERALE ET TECHNIQUE;ECOLES PRIMAIRES
VILLE;1;2014;I;D;2051;112;7630; CONCESSIONS ET DROITS SIMILAIRES;POLICE MUNICIPALE
VILLE;1;2014;F;D;6238;520;5876,6; DIVERS;SERVICES COMMUNS
VILLE;1;2014;F;R;7062;422;288932,96; REDEVANCES ET DROITS DES SERVICES A CARACTERE CULTUREL;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;R;7761;;9067,81; DIFFERENCES SUR REALISATIONS (NEGATIVES) REPRISES AU COMPTE DE RESULTAT;
VILLE;1;2014;F;D;6064;251;20074,7; FOURNITURES ADMINISTRATIVES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;D;64112;822;176198,38; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2014;I;D;2138;816;153834,8; AUTRES CONSTRUCTIONS;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;D;6182;30;17,2; DOCUMENTATION GENERALE ET TECHNIQUE;SERVICES COMMUNS
VILLE;1;2014;F;D;6156;30;14939,48; MAINTENANCE;SERVICES COMMUNS
VILLE;1;2014;F;D;6247;422;15394,3; TRANSPORT COLLECTIF;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;6232;30;158134,68; FETES ET CEREMONIES;SERVICES COMMUNS
VILLE;1;2014;I;R;10224;;510; VERSEMENT POUR DEPASSEMENT DU PLAFOND LEGAL DE DENSITE (PLD);
VILLE;1;2014;F;D;611;323;41237,73; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;ARCHIVES
VILLE;1;2014;F;D;60628;421;26460; AUTRES FOURNITURES NON STOCKEES;CENTRES DE LOISIRS
VILLE;1;2014;F;D;6241;211;1872; TRANSPORT DE BIENS;ECOLES MATERNELLES
VILLE;1;2014;F;D;6281;520;1000; CONCOURS DIVERS (COTISATIONS);SERVICES COMMUNS
VILLE;1;2014;F;D;60612;20;606956,71; ENERGIE ET ELECTRICITE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;637;22;207; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2014;F;D;6064;421;13927,55; FOURNITURES ADMINISTRATIVES;CENTRES DE LOISIRS
VILLE;1;2014;F;D;6231;23;830623,16; ANNONCES ET INSERTIONS;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2014;F;D;60623;48;4738,67; ALIMENTATION;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2014;F;D;60632;48;1387,64; FOURNITURES DE PETIT EQUIPEMENT;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2014;F;D;615221;48;7958,62; ENTRETIEN ET REP BAT PUBLICS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2014;F;D;62878;30;120338,25; REMBOURSEMENT DE FRAIS A D'AUTRES ORGANISMES;SERVICES COMMUNS
VILLE;1;2014;F;R;7066;64;2678866,96; REDEVANCES ET DROITS DES SERVICES A CARACTERE SOCIAL;CRECHES ET GARDERIES
VILLE;1;2014;F;R;752;520;18636,77; REVENUS DES IMMEUBLES;SERVICES COMMUNS
VILLE;1;2014;F;D;64118;212;3276227,36; AUTRES INDEMNITES PERSONNEL TITULAIRE;ECOLES PRIMAIRES
VILLE;1;2014;F;D;6236;314;30536,91; CATALOGUES ET IMPRIMES;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;1;2014;F;D;6064;816;121,61; FOURNITURES ADMINISTRATIVES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;D;60628;816;129,01; AUTRES FOURNITURES NON STOCKEES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;D;678;20;256303,58; AUTRES CHARGES EXCEPTIONNELLES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;658;20;1760; CHARGES DIVERSES DE LA GESTION COURANTE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;R;7411;;49396382; DOTATION FORFAITAIRE;
VILLE;1;2014;I;D;2031;251;62220; FRAIS D'ETUDES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;I;D;16818;;36619,93; AUTRES EMPRUNTS AUTRES PRETEURS;
VILLE;1;2014;I;D;2313;824;21952132,76; IMMOBILISATIONS EN COURS CONSTRUCTION;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;R;752;422;69458,83; REVENUS DES IMMEUBLES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;64111;412;1385935,49; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;STADES
VILLE;1;2014;F;D;64111;20;12461188,64; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;60628;211;35331,18; AUTRES FOURNITURES NON STOCKEES;ECOLES MATERNELLES
VILLE;1;2014;F;D;6232;422;4840,65; FETES ET CEREMONIES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;R;758;64;322839,1; Produits divers de gestion cou;CRECHES ET GARDERIES
VILLE;1;2014;F;D;6188;322;132; AUTRES FRAIS DIVERS;MUSEES
VILLE;1;2014;I;D;21568;64;2734,44; AUTRE MATERIEL ET OUTILLAGE D'INCENDIE ET DE DEFENSE CIVILE;CRECHES ET GARDERIES
VILLE;1;2014;F;D;60611;823;444269,68; EAU ET ASSAINISSSEMENT;ESPACES VERTS URBAINS
VILLE;1;2014;I;D;2031;816;36721,4; FRAIS D'ETUDES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;R;7718;24;2996,04; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;FETES ET CEREMONIES
VILLE;1;2014;F;R;7325;;2382988; FONDS DE PEREQUATION DES RECETTES FISCALES COMMUNALES ET INTERCOMMUNALES;
VILLE;1;2014;I;D;2031;211;113378,34; FRAIS D'ETUDES;ECOLES MATERNELLES
VILLE;1;2014;F;D;6238;26;2632,96; DIVERS;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;R;7718;821;138,54; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;EQUIPEMENTS DE VOIRIE
VILLE;1;2014;I;D;21312;212;1527308,68; BATIMENTS SCOLAIRES;ECOLES PRIMAIRES
VILLE;1;2014;F;D;64112;24;17706,71; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;FETES ET CEREMONIES
VILLE;1;2014;F;R;70688;823;19502,01; AUTRES PRESTATIONS DE SERVICES;ESPACES VERTS URBAINS
VILLE;1;2014;I;D;2183;814;4891,08; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;ECLAIRAGE PUBLIC
VILLE;1;2014;I;D;2316;323;24983,01; IMMOBILISATIONS EN COURS RESTAURATION DES COLLECTIONS ET OEUVRES D ART;ARCHIVES
VILLE;1;2014;F;D;6188;25;6849; AUTRES FRAIS DIVERS;AIDES AUX ASSOCIATIONS (NON CLASSEES AILLEURS)
VILLE;1;2014;F;D;6355;20;414; TAXES ET IMPOTS SUR LES VEHICULES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;R;7478;314;9356,59; SUBVENTIONS ET PARTICIPATIONS AUTRES ORGANISMES;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;1;2014;F;D;64131;313;150702,17; REMUNERATION;THEATRES
VILLE;1;2014;F;R;7788;820;4823,09; PRODUITS EXCEPTIONNELS DIVERS;SERVICES COMMUNS
VILLE;1;2014;F;D;6156;251;58641,14; MAINTENANCE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;R;70311;26;427872,61; CONCESSION DANS LES CIMETIERES (PRODUIT NET);CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;D;6417;64;39836,51; REMUNERATION DES APPRENTIS;CRECHES ET GARDERIES
VILLE;1;2014;F;D;6283;20;310774,71; FRAIS DE NETTOYAGE DES LOCAUX;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;6238;422;91548,97; DIVERS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;I;D;21538;;40843,4; AUTRES RESEAUX;
VILLE;1;2014;I;D;2188;91;24550,03; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;FOIRES ET MARCHES
VILLE;1;2014;I;R;28182;;790255,48; MATERIEL DE TRANSPORT;
VILLE;1;2014;F;R;775;20;23412,2; PRODUITS DES CESSIONS D'IMMOBILISATIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;6064;314;4546,49; FOURNITURES ADMINISTRATIVES;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;1;2014;F;D;6188;824;34011,71; AUTRES FRAIS DIVERS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;6188;48;4847,82; AUTRES FRAIS DIVERS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2014;F;D;65733;520;212634; SUBVENTIONS DE FONCTIONNEMENT AUX DEPARTEMENTS;SERVICES COMMUNS
VILLE;1;2014;F;D;61523;814;355287,35; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;ECLAIRAGE PUBLIC
VILLE;1;2014;F;R;7718;20;126267,64; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;60624;822;120,4; PRODUITS DE TRAITEMENT;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2014;F;D;60612;412;572939,92; ENERGIE ET ELECTRICITE;STADES
VILLE;1;2014;F;D;6574;520;1040650,68; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;SERVICES COMMUNS
VILLE;1;2014;F;D;6188;821;40761,22; AUTRES FRAIS DIVERS;EQUIPEMENTS DE VOIRIE
VILLE;1;2014;F;D;6227;20;368986,04; FRAIS D'ACTE ET DE CONTENTIEUX;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;60623;90;40481,45; ALIMENTATION;INTERVENTIONS ECONOMIQUES
VILLE;1;2014;F;D;60628;314;2986,47; AUTRES FOURNITURES NON STOCKEES;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;1;2014;F;D;6238;313;236364,24; DIVERS;THEATRES
VILLE;1;2014;I;D;2184;20;210117,72; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;64131;112;87858,97; REMUNERATION;POLICE MUNICIPALE
VILLE;1;2014;F;D;64118;411;263320,39; AUTRES INDEMNITES PERSONNEL TITULAIRE;SALLES DE SPORT, GYMNASES
VILLE;1;2014;F;D;6236;40;32101,08; CATALOGUES ET IMPRIMES;SERVICES COMMUNS
VILLE;1;2014;F;D;61558;823;13551,68; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;ESPACES VERTS URBAINS
VILLE;1;2014;F;D;6451;12;115696,84; COTISATIONS A L'URSSAF;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2014;F;R;7088;20;3237,86; AUTRES PRODUITS D ACTIVITES ANNEXES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;6188;22;7132,8; AUTRES FRAIS DIVERS;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2014;F;D;6135;415;23826,73; LOCATIONS MOBILIERES;MANIFESTATIONS SPORTIVES
VILLE;1;2014;F;D;60631;814;2028,26; FOURNITURES D'ENTRETIEN;ECLAIRAGE PUBLIC
VILLE;1;2014;F;D;64131;251;204571,05; REMUNERATION;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;D;6067;212;464944,12; FOURNITURES SCOLAIRES;ECOLES PRIMAIRES
VILLE;1;2014;F;D;64112;412;60498,88; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;STADES
VILLE;1;2014;F;D;60636;415;8622,7; VETEMENTS DE TRAVAIL;MANIFESTATIONS SPORTIVES
VILLE;1;2014;F;D;6262;422;69997,62; FRAIS DE TELECOMMUNICATIONS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;6282;30;175689,4; FRAIS DE GARDIENNAGE;SERVICES COMMUNS
VILLE;1;2014;F;D;60628;322;17565,84; AUTRES FOURNITURES NON STOCKEES;MUSEES
VILLE;1;2014;F;D;6135;251;31740,61; LOCATIONS MOBILIERES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;D;6488;323;28506,5; AUTRES CHARGES;ARCHIVES
VILLE;1;2014;F;D;6282;212;23872,77; FRAIS DE GARDIENNAGE;ECOLES PRIMAIRES
VILLE;1;2014;F;D;60636;251;21179,13; VETEMENTS DE TRAVAIL;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2014;F;D;6238;30;725590,09; DIVERS;SERVICES COMMUNS
VILLE;1;2014;F;D;64131;820;84869,81; REMUNERATION;SERVICES COMMUNS
VILLE;1;2014;F;R;758;820;50372,5; Produits divers de gestion cou;SERVICES COMMUNS
VILLE;1;2014;F;D;6283;421;147846,41; FRAIS DE NETTOYAGE DES LOCAUX;CENTRES DE LOISIRS
VILLE;1;2014;F;D;6251;20;44762,11; VOYAGES ET DEPLACEMENTS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;6451;824;17925,06; COTISATIONS A L'URSSAF;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;6453;21;207380,3; COTISATIONS AUX CAISSES DE RETRAITES;ASSEMBLEE LOCALE
VILLE;1;2014;I;D;2312;823;1424203,47; IMMOBILISATIONS EN COURS TERRAINS;ESPACES VERTS URBAINS
VILLE;1;2014;F;D;64112;20;400240,55; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;R;7362;;1246127,56; TAXES DE SEJOUR;
VILLE;1;2014;F;D;6064;322;1238,96; FOURNITURES ADMINISTRATIVES;MUSEES
VILLE;1;2014;F;D;6064;12;1934,54; FOURNITURES ADMINISTRATIVES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2014;F;D;6135;422;19446,49; LOCATIONS MOBILIERES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;637;313;8790,8; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);THEATRES
VILLE;1;2014;F;D;6331;412;27714,2; VERSEMENT DE TRANSPORT;STADES
VILLE;1;2014;F;D;6283;211;6398,9; FRAIS DE NETTOYAGE DES LOCAUX;ECOLES MATERNELLES
VILLE;1;2014;F;D;6533;21;87174,61; COTISATIONS DE RETRAITE ELUS;ASSEMBLEE LOCALE
VILLE;1;2014;I;D;2182;412;6600; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE TRANSPORT;STADES
VILLE;1;2014;I;D;16878;;50669,64; AUTRES ORGANISMES ET PARTICULIERS;
VILLE;1;2014;F;R;70323;20;1967352,08; REDEVANCE D'OCCUPATION DU DOMAINE PUBLIC COMMUNAL;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;R;7083;24;13327,42; LOCATIONS DIVERSES (AUTRES QU'IMMEUBLES);FETES ET CEREMONIES
VILLE;1;2014;F;D;60628;12;11855,14; AUTRES FOURNITURES NON STOCKEES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2014;F;D;6488;422;210592,5; AUTRES CHARGES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;I;R;28128;;1051022,72; AMORTISSEMENT DES IMMOS CORPO AUTRES AGENCEMENTS ET AMENAGEMENTS DE TERRAINS;
VILLE;1;2014;F;D;64131;421;4327,43; REMUNERATION;CENTRES DE LOISIRS
VILLE;1;2014;F;D;617;212;780; ETUDES ET RECHERCHES;ECOLES PRIMAIRES
VILLE;1;2014;F;D;6156;211;120846,56; MAINTENANCE;ECOLES MATERNELLES
VILLE;1;2014;F;D;6488;40;10768; AUTRES CHARGES;SERVICES COMMUNS
VILLE;1;2014;F;D;6236;90;12651,72; CATALOGUES ET IMPRIMES;INTERVENTIONS ECONOMIQUES
VILLE;1;2014;F;D;60611;26;18050; EAU ET ASSAINISSSEMENT;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;D;6574;824;96215; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;I;D;21318;824;1552000; AUTRES BATIMENTS PUBLICS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;64112;23;21921,13; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2014;F;R;70688;26;1623; AUTRES PRESTATIONS DE SERVICES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;D;611;313;163,8; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;THEATRES
VILLE;1;2014;F;D;6068;422;1094,87; AUTRES MATIERES ET FOURNITURES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;F;D;64112;824;1047,38; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;6451;20;2704151,89; COTISATIONS A L'URSSAF;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;60631;24;2051,23; FOURNITURES D'ENTRETIEN;FETES ET CEREMONIES
VILLE;1;2014;I;R;2764;;6325000; CREANCES SUR DES PARTICULIERS;
VILLE;1;2014;F;D;6236;64;67,96; CATALOGUES ET IMPRIMES;CRECHES ET GARDERIES
VILLE;1;2014;F;D;6257;48;11322,16; RECEPTIONS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2014;I;D;2188;816;149,99; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2014;F;D;6451;821;137018,42; COTISATIONS A L'URSSAF;EQUIPEMENTS DE VOIRIE
VILLE;1;2014;F;R;758;323;16327,35; Produits divers de gestion cou;ARCHIVES
VILLE;1;2014;F;D;6574;212;1129395; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;ECOLES PRIMAIRES
VILLE;1;2014;F;D;6257;314;1909,47; RECEPTIONS;CINEMAS ET AUTRES SALLES DE SPECTACLES
VILLE;1;2014;F;D;61521;30;18043,55; ENTRETIEN ET REPARATIONS SUR TERRAINS;SERVICES COMMUNS
VILLE;1;2014;F;D;60636;213;42491,31; VETEMENTS DE TRAVAIL;CLASSES REGROUPEES
VILLE;1;2014;I;R;1323;824;15000; SUBV EQUIP NON TRANSF DEPARTE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2014;F;D;60628;422;6267,43; AUTRES FOURNITURES NON STOCKEES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2014;I;D;2188;813;57183,54; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;PROPRETE URBAINE
VILLE;1;2014;I;D;2051;823;8557,2; CONCESSIONS ET DROITS SIMILAIRES;ESPACES VERTS URBAINS
VILLE;1;2014;I;D;2188;211;124645,97; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ECOLES MATERNELLES
VILLE;1;2014;F;D;6188;211;107183,23; AUTRES FRAIS DIVERS;ECOLES MATERNELLES
VILLE;1;2014;F;D;64112;91;35591,02; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;FOIRES ET MARCHES
VILLE;1;2014;F;R;74835;;5539406; ATTRIBUTION ETAT COMPENSATION AU TITRE DES EXONERATIONS DE TAXE D'HABITATION;
VILLE;1;2014;F;D;61558;322;1536,22; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;MUSEES
VILLE;1;2014;F;D;61521;823;1883878,61; ENTRETIEN ET REPARATIONS SUR TERRAINS;ESPACES VERTS URBAINS
VILLE;1;2014;F;D;64731;822;20551,21; ALLOC CHOM;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2014;F;D;64112;821;26803,81; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;EQUIPEMENTS DE VOIRIE
VILLE;1;2014;F;D;6488;12;29291,5; AUTRES CHARGES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2014;I;D;192;;46224,72; REALISATIONS POSTERIEURES AU 01/01/1997;
VILLE;1;2014;F;D;60623;421;29980,82; ALIMENTATION;CENTRES DE LOISIRS
VILLE;1;2014;I;D;2184;64;55641,8; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;CRECHES ET GARDERIES
VILLE;1;2014;F;D;64131;12;85356,92; REMUNERATION;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2014;F;D;6282;823;190605,75; FRAIS DE GARDIENNAGE;ESPACES VERTS URBAINS
VILLE;1;2014;F;R;6419;20;181235,6; REMBOURSEMENTS SUR REMUNERATION DU PERSONNEL;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2014;F;D;6257;112;151; RECEPTIONS;POLICE MUNICIPALE
VILLE;1;2014;F;R;758;91;120033,95; Produits divers de gestion cou;FOIRES ET MARCHES
VILLE;1;2014;I;D;2312;26;337825,95; IMMOBILISATIONS EN COURS TERRAINS;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2014;F;D;6236;820;1730,23; CATALOGUES ET IMPRIMES;SERVICES COMMUNS
VILLE;1;2014;I;D;1641;;11645394,63; REAMENAGEMENT DETTE;
VILLE;1;2014;I;D;2188;421;46611,37; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;CENTRES DE LOISIRS
